"Temperature","Reference temperature","Stress-xx","Stress-yy","Stress-zz","Stress-xy","Stress-yz","Stress-xz","Stress work density","mises stress","C1-Mat val","C2-Mat val","C3-Mat val","Stress invariant 1","Stress invariant 2","Stress invariant 3","Stress principle (min)","Stress principle (inter)","Stress principle (max)","Stress dir cosine l1","Stress dir cosine m1","Stress dir cosine n1","Stress dir cosine l2","Stress dir cosine m2","Stress dir cosine n2","Stress dir cosine l3","Stress dir cosine m3","Stress dir cosine n3","Strain-xx","Strain-yy","Strain-zz","Strain-xy","Strain-yz","Strain-xz","Effective mises strain","Strain invariant 1","Strain invariant 2","Strain invariant 3","Strain principle (min)","Strain principle (inter)","Strain principle (max)","Strain dir cosine l1","Strain dir cosine m1","Strain dir cosine n1","Strain dir cosine l2","Strain dir cosine m2","Strain dir cosine n2","Strain dir cosine l3","Strain dir cosine m3","Strain dir cosine n3","e-xx - Elastic strain","e-yy - Elastic strain","e-zz - Elastic strain","e-xy - Elastic strain","e-yz - Elastic strain","e-xz - Elastic strain","p-xx - Inelastic strain","p-yy - Inelastic strain","p-zz - Inelastic strain","p-xy - Inelastic strain","p-yz - Inelastic strain","p-xz - Inelastic strain","ObjectId","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-1.4788e-13,-1.4788e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0,1690,0,3000
-1.4415e-13,-1.4415e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.060059,1690.1,0,3000
-1.4042e-13,-1.4042e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.12,1690.1,0,3000
-1.3669e-13,-1.3669e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.18005,1690.2,0,3000
-1.3296e-13,-1.3296e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.23999,1690.2,0,3000
-1.2923e-13,-1.2923e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.30005,1690.3,0,3000
-1.255e-13,-1.255e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.35999,1690.4,0,3000
-1.2177e-13,-1.2177e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.42004,1690.4,0,3000
-1.1804e-13,-1.1804e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.47998,1690.5,0,3000
-1.1431e-13,-1.1431e-13,-0.57778,42.52,41.579,3.0982,-0.0035133,0.054161,1.3758,42.972,0,0,0,83.522,1709.8,-1420.7,-0.79943,41.579,42.742,0.99745,-0.071337,-0.0012807,0.0012554,-0.0003997,1,-0.071338,-0.99745,-0.00030912,-0.0025595,0.0020881,0.00066347,0.00066803,-2.6615e-06,4.2228e-05,0.0027765,0.000192,-5.7693e-06,-3.6209e-09,-0.0025836,0.00066361,0.0021119,0.99743,-0.071317,-0.0065151,0.0064897,-0.00058752,0.99998,-0.071319,-0.99745,-0.00012319,-0.00014832,0.00017368,0.00016665,-5.2497e-08,8.0931e-07,4.6295e-05,-0.0024112,0.0019144,0.00049682,-2.609e-06,4.1418e-05,0.00062173,1,1,0.54004,1690.5,0,3000
